date,close,high,low,open,volume
2008-05-26,199.27508544921875,472.5,278.0,472.5,4607686.0
2008-05-27,195.1873779296875,321.0,289.125,305.0,2448098.0
2008-05-28,199.8684539794922,309.5,295.0,300.0,1430798.0
2008-05-29,197.6597900390625,309.75,295.5,305.0,595868.0
2008-05-30,189.36903381347656,304.5,271.5,304.5,547992.0
2008-06-02,192.2535095214844,309.0,285.0,293.0,295460.0
2008-06-03,191.2315673828125,294.0,275.0,277.5,173298.0
2008-06-04,182.19908142089844,299.5,274.0,294.0,222076.0
2008-06-05,186.00656127929688,288.8500061035156,265.0,275.0,157534.0
2008-06-06,187.50645446777344,287.5,271.02499389648443,282.4750061035156,75334.0
2008-06-09,181.55625915527344,278.5,261.5,270.0,121876.0
2008-06-10,181.50677490234372,280.0,272.0,272.0,50836.0
2008-06-11,174.65000915527344,285.0,263.04998779296875,272.52499389648443,73372.0
2008-06-12,170.7271728515625,262.5,255.0,257.5,47614.0
2008-06-13,166.6394500732422,263.0,250.0,259.5,136370.0
2008-06-16,163.24404907226562,259.0,244.5,259.0,42240.0
2008-06-17,167.0020751953125,254.875,242.6499938964844,245.9750061035156,63780.0
2008-06-18,170.61175537109375,262.5,250.0,254.125,81524.0
2008-06-19,169.3755645751953,262.5,251.5,251.5,121134.0
2008-06-20,171.08978271484375,259.5,245.5,257.5,76044.0
2008-06-23,165.15602111816406,265.0,249.0,257.0,45066.0
2008-06-24,158.0025634765625,253.75,235.0,248.9250030517578,40268.0
2008-06-25,163.30996704101562,249.9750061035156,228.0,235.0,34754.0
2008-06-26,161.28260803222656,248.5,235.125,248.25,40226.0
2008-06-27,162.89810180664062,236.9499969482422,218.0500030517578,235.0,166934.0
2008-06-30,161.7134246826172,228.875,224.0749969482422,227.0,107916.0
2008-07-01,160.38510131835938,227.5,218.0,225.0,129992.0
2008-07-02,161.19287109375,228.875,218.5,220.6999969482422,382590.0
2008-07-03,146.3480224609375,225.0,197.5,220.0,76154.0
2008-07-04,150.85357666015625,217.5,201.7749938964844,201.7749938964844,62298.0
2008-07-07,154.89234924316406,220.0,212.5749969482422,215.0,84924.0
2008-07-08,156.1668243408203,219.0,209.0,209.0500030517578,18950.0
2008-07-09,161.73135375976562,227.5500030517578,219.5,220.1000061035156,33400.0
2008-07-10,177.40188598632812,259.0,217.5,221.125,189182.0
2008-07-11,179.73541259765625,254.0,241.0249938964844,252.5,59946.0
2008-07-14,179.93289184570312,252.5,240.0,240.5,257936.0
2008-07-15,172.1783905029297,249.9499969482422,237.5500030517578,244.0,41120.0
2008-07-16,161.6954345703125,248.5,222.1999969482422,240.5,567318.0
2008-07-17,166.9369354248047,239.0249938964844,230.0,234.0,15500.0
2008-07-18,165.14187622070312,238.0,224.9499969482422,224.9499969482422,8774.0
2008-07-21,178.35325622558594,252.5,235.5,239.0500030517578,109882.0
2008-07-22,177.63522338867188,251.4499969482422,242.6000061035156,249.0,16870.0
2008-07-23,186.41290283203125,272.45001220703125,248.0,251.0,97002.0
2008-07-24,187.77708435058597,268.42498779296875,245.0,245.0,15136.0
2008-07-25,182.12277221679688,262.45001220703125,250.0,250.0,18818.0
2008-07-28,186.08978271484372,261.5,249.5,249.5,5256.0
2008-07-29,181.18939208984372,257.0,250.0,255.1750030517578,7490.0
2008-07-30,186.68214416503903,261.0,252.5,256.5,8606.0
2008-07-31,190.6312255859375,269.0,256.0,257.75,43640.0
2008-08-01,186.41290283203125,266.0,252.5249938964844,261.35000610351557,21272.0
2008-08-04,186.2333984375,267.5,255.0,255.0,7946.0
2008-08-05,189.89523315429688,265.0,250.8249969482422,259.35000610351557,427834.0
2008-08-06,200.8448638916016,285.8500061035156,262.5,262.5,59394.0
2008-08-07,200.80894470214844,284.0249938964844,245.0,281.0,28242.0
2008-08-08,198.11643981933597,281.25,258.29998779296875,258.29998779296875,20976.0
2008-08-11,204.38104248046875,288.5,277.5,280.0,18024.0
2008-08-12,198.870361328125,286.0,275.04998779296875,282.5,6968.0
2008-08-13,204.2015380859375,286.0,270.5,271.0,10676.0
2008-08-14,201.7064514160156,283.25,277.5,282.0,7884.0
2008-08-18,198.3677520751953,280.0,265.10000610351557,280.0,23900.0
2008-08-19,197.1650695800781,276.5,270.5,270.5,10234.0
2008-08-20,195.65724182128903,278.0,270.27499389648443,278.0,19538.0
2008-08-21,185.96414184570312,306.4750061035156,256.04998779296875,275.5,8316.0
2008-08-22,191.61843872070312,272.5,256.89999389648443,256.89999389648443,23008.0
2008-08-25,193.50320434570312,274.45001220703125,268.10000610351557,268.39999389648443,19898.0
2008-08-26,196.78810119628903,277.47500610351557,261.5,270.0,16104.0
2008-08-27,208.0608367919922,292.0,276.89999389648443,276.89999389648443,587736.0
2008-08-28,208.4736785888672,295.0,283.2749938964844,291.0,100038.0
2008-08-29,210.9508056640625,295.0,290.04998779296875,294.42498779296875,33846.0
2008-09-01,210.0892333984375,295.0,287.04998779296875,287.5,79850.0
2008-09-02,217.0718688964844,303.25,292.04998779296875,294.0,373846.0
