date,amount,price,sid,symbol,value
2012-03-13 00:00:00+00:00,-7,608.05,5,APLH,4256.349999999999
2012-03-13 00:00:00+00:00,132,85.0,6,APLO,-11220.0
2012-03-13 00:00:00+00:00,-62,381.0,64,HLL,23622.0
2012-03-13 00:00:00+00:00,47,453.5,90,MINT,-21314.5
2012-03-27 00:00:00+00:00,1,9780.0,95,MRF,-9780.0
2012-03-27 00:00:00+00:00,48,460.6,113,PIRA,-22108.800000000003
2012-03-27 00:00:00+00:00,-12,1675.25,120,REDY,20103.0
2012-03-27 00:00:00+00:00,-32,566.21,133,TCS,18118.72
2012-04-03 00:00:00+00:00,-52,433.16,58,GRAS,22524.32
2012-04-03 00:00:00+00:00,84,329.5,77,IPCA,-27678.0
2012-04-24 00:00:00+00:00,331,75.22,99,NATP,-24897.82
2012-04-24 00:00:00+00:00,-129,187.58,152,WIPR,24197.820000000003
2012-05-08 00:00:00+00:00,23,712.29,22,BJFS,-16382.669999999998
2012-05-08 00:00:00+00:00,154,137.88,23,BLKI,-21233.52
2012-05-08 00:00:00+00:00,-48,447.4,113,PIRA,21475.199999999997
2012-05-08 00:00:00+00:00,-16,1410.0,144,ULTC,22560.0
2012-05-29 00:00:00+00:00,520,31.73,9,ARTI,-16499.6
2012-05-29 00:00:00+00:00,37,291.0,101,NITT,-10767.0
2012-05-29 00:00:00+00:00,-6,2565.55,126,SHCM,15393.300000000001
2012-05-29 00:00:00+00:00,-162,139.1,138,TRCE,22534.2
2012-06-05 00:00:00+00:00,41,373.4,11,ASPN,-15309.4
2012-06-05 00:00:00+00:00,3,8846.0,26,BOSH,-26538.0
2012-06-05 00:00:00+00:00,216,47.84,28,BRGR,-10333.44
2012-06-05 00:00:00+00:00,-34,540.5,67,HVEL,18377.0
2012-06-05 00:00:00+00:00,-84,343.9,77,IPCA,28887.6
2012-06-12 00:00:00+00:00,138,116.0,116,PREG,-16008.0
2012-06-12 00:00:00+00:00,-55,230.23,132,TAMO,12662.65
2012-06-19 00:00:00+00:00,-132,77.8,6,APLO,10269.6
2012-07-10 00:00:00+00:00,172,163.9,46,EMAM,-28190.8
2012-07-10 00:00:00+00:00,-1,10498.95,95,MRF,10498.95
2012-07-17 00:00:00+00:00,-138,112.7,116,PREG,15552.6
2012-07-24 00:00:00+00:00,-154,147.41,23,BLKI,22701.14
2012-07-24 00:00:00+00:00,16,1061.4,43,DIVI,-16982.4
2012-07-24 00:00:00+00:00,46,384.4,53,GLEN,-17682.399999999998
2012-07-24 00:00:00+00:00,63,293.1,55,GOCP,-18465.300000000003
2012-07-24 00:00:00+00:00,-331,71.78,99,NATP,23759.18
2012-07-31 00:00:00+00:00,-23,718.97,22,BJFS,16536.31
2012-07-31 00:00:00+00:00,460,21.68,148,VGUA,-9972.8
2012-08-21 00:00:00+00:00,154,105.06,21,BJFN,-16179.24
2012-08-21 00:00:00+00:00,-3,8725.0,26,BOSH,26175.0
2012-08-21 00:00:00+00:00,30,502.9,64,HLL,-15087.0
2012-08-21 00:00:00+00:00,-37,265.3,101,NITT,9816.1
2012-08-28 00:00:00+00:00,41,186.0,146,UNSP,-7626.0
2012-09-04 00:00:00+00:00,-41,364.9,11,ASPN,14960.9
2012-09-04 00:00:00+00:00,97,161.3,153,ZEE,-15646.1
2012-09-18 00:00:00+00:00,-216,51.02,28,BRGR,11020.320000000002
2012-09-18 00:00:00+00:00,35,418.0,77,IPCA,-14630.0
2012-09-25 00:00:00+00:00,-520,37.66,9,ARTI,19583.199999999997
